timestamp, client_id, client_ip, cpu_usage, ram_usage, disk_usage, net_usage
1774759984, 1, 127.0.0.1, 0.14, 4.97, 0.35, 0.00
1774759989, 1, 127.0.0.1, 0.11, 5.03, 0.35, 0.00
1774759994, 1, 127.0.0.1, 0.06, 5.02, 0.35, 0.00
1774759999, 1, 127.0.0.1, 0.04, 5.02, 0.35, 0.00
1774760004, 1, 127.0.0.1, 0.02, 5.02, 0.35, 0.00
1774760009, 1, 127.0.0.1, 0.04, 5.02, 0.35, 0.00
1774760014, 1, 127.0.0.1, 0.05, 5.02, 0.35, 0.00
1774760019, 1, 127.0.0.1, 0.01, 5.02, 0.35, 0.00
1774760024, 1, 127.0.0.1, 0.02, 5.02, 0.35, 0.00
1774760029, 1, 127.0.0.1, 0.01, 5.02, 0.35, 0.00
1774760034, 1, 127.0.0.1, 0.04, 5.00, 0.35, 0.00
1774760039, 1, 127.0.0.1, 0.04, 5.00, 0.35, 0.00
1774760044, 1, 127.0.0.1, 0.01, 5.00, 0.35, 0.00
1774760049, 1, 127.0.0.1, 0.02, 5.00, 0.35, 0.00
1774760054, 1, 127.0.0.1, 0.01, 5.00, 0.35, 0.00
1774760059, 1, 127.0.0.1, 0.01, 5.00, 0.35, 0.00
1774760064, 1, 127.0.0.1, 0.02, 5.01, 0.35, 0.00
1774760069, 1, 127.0.0.1, 0.04, 5.01, 0.35, 0.00
1774760074, 1, 127.0.0.1, 0.01, 5.01, 0.35, 0.00
1774760079, 1, 127.0.0.1, 0.01, 5.02, 0.35, 0.00
1774760084, 1, 127.0.0.1, 0.04, 5.01, 0.35, 0.00
1774760089, 1, 127.0.0.1, 0.01, 5.01, 0.35, 0.00
1774760094, 1, 127.0.0.1, 0.01, 5.01, 0.35, 0.00
1774760099, 1, 127.0.0.1, 0.02, 5.01, 0.35, 0.00
1774760104, 1, 127.0.0.1, 0.01, 5.01, 0.35, 0.00
1774760109, 1, 127.0.0.1, 0.01, 5.01, 0.35, 0.00
1774760114, 1, 127.0.0.1, 0.02, 5.01, 0.35, 0.00
1774760119, 1, 127.0.0.1, 0.02, 5.01, 0.35, 0.00
1774760124, 1, 127.0.0.1, 0.01, 5.01, 0.35, 0.00
1774760129, 1, 127.0.0.1, 0.01, 5.00, 0.35, 0.00
1774760134, 1, 127.0.0.1, 0.03, 5.00, 0.35, 0.00
1774760139, 1, 127.0.0.1, 0.04, 5.01, 0.35, 0.00
1774760144, 1, 127.0.0.1, 0.03, 5.01, 0.35, 0.00
1774760149, 1, 127.0.0.1, 0.04, 5.02, 0.35, 0.00
1774760154, 1, 127.0.0.1, 0.07, 5.01, 0.35, 0.00
1774760159, 1, 127.0.0.1, 0.00, 5.01, 0.35, 0.00
1774760164, 1, 127.0.0.1, 0.01, 5.01, 0.35, 0.00
1774760169, 1, 127.0.0.1, 0.03, 5.01, 0.35, 0.00
1774760174, 1, 127.0.0.1, 0.01, 5.01, 0.35, 0.00
1774760179, 1, 127.0.0.1, 0.01, 5.01, 0.35, 0.00
1774760184, 1, 127.0.0.1, 0.03, 5.01, 0.35, 0.00
1774760189, 1, 127.0.0.1, 0.02, 5.01, 0.35, 0.00
1774760194, 1, 127.0.0.1, 0.04, 5.01, 0.35, 0.00
1774760199, 1, 127.0.0.1, 0.05, 5.02, 0.35, 0.00
1774760204, 1, 127.0.0.1, 0.04, 5.02, 0.35, 0.00
1774760209, 1, 127.0.0.1, 0.02, 5.02, 0.35, 0.00
1774760214, 1, 127.0.0.1, 0.05, 5.02, 0.35, 0.00
1774760219, 1, 127.0.0.1, 0.01, 5.02, 0.35, 0.00
1774760224, 1, 127.0.0.1, 0.01, 5.02, 0.35, 0.00
1774760229, 1, 127.0.0.1, 0.02, 5.02, 0.35, 0.00
1774760234, 1, 127.0.0.1, 0.17, 5.09, 0.35, 0.00
1774760239, 1, 127.0.0.1, 0.02, 5.07, 0.35, 0.00
1774760244, 1, 127.0.0.1, 0.58, 5.07, 0.35, 0.00
1774760249, 1, 127.0.0.1, 0.02, 5.07, 0.35, 0.00
1774760254, 1, 127.0.0.1, 0.08, 5.06, 0.35, 0.00
1774760259, 1, 127.0.0.1, 0.61, 5.08, 0.35, 0.00
1774760264, 1, 127.0.0.1, 0.05, 5.08, 0.35, 0.00
